#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CG
sample	bin	methType	mCount	tCount	value
DES1	0	CG	289709	320027	0.905264
DES1	1	CG	280794	313445	0.895832
DES1	2	CG	287999	320539	0.898483
DES1	3	CG	298350	333205	0.895395
DES1	4	CG	295963	332296	0.890661
DES1	5	CG	293156	330116	0.888039
DES1	6	CG	299261	336612	0.889038
DES1	7	CG	305337	340806	0.895926
DES1	8	CG	296096	336654	0.879526
DES1	9	CG	295814	336729	0.878493
DES1	10	CG	290628	330693	0.878845
DES1	11	CG	273717	315713	0.866980
DES1	12	CG	248263	291086	0.852885
DES1	13	CG	252922	299888	0.843388
DES1	14	CG	232452	284399	0.817345
DES1	15	CG	202913	257736	0.787290
DES1	16	CG	198127	264898	0.747937
DES1	17	CG	175430	254033	0.690580
DES1	18	CG	148435	241072	0.615729
DES1	19	CG	143684	261934	0.548550
DES1	20	CG	280165	541087	0.517782
DES1	21	CG	251932	588563	0.428046
DES1	22	CG	272843	570936	0.477887
DES1	23	CG	302116	541129	0.558307
DES1	24	CG	320598	528407	0.606725
DES1	25	CG	347159	532993	0.651339
DES1	26	CG	371123	537135	0.690931
DES1	27	CG	396275	549861	0.720682
DES1	28	CG	409163	549056	0.745212
DES1	29	CG	437798	572048	0.765317
DES1	30	CG	456719	585597	0.779920
DES1	31	CG	457844	590873	0.774860
DES1	32	CG	509692	632917	0.805306
DES1	33	CG	503989	623961	0.807725
DES1	34	CG	487204	611735	0.796430
DES1	35	CG	492453	619479	0.794947
DES1	36	CG	515836	666550	0.773889
DES1	37	CG	525115	667017	0.787259
DES1	38	CG	500967	649116	0.771768
DES1	39	CG	381966	491001	0.777933
DES1	40	CG	163532	235648	0.693967
DES1	41	CG	156481	205137	0.762812
DES1	42	CG	169661	207629	0.817135
DES1	43	CG	189061	228009	0.829182
DES1	44	CG	207137	244143	0.848425
DES1	45	CG	212337	249385	0.851443
DES1	46	CG	208814	241535	0.864529
DES1	47	CG	231198	264906	0.872755
DES1	48	CG	255507	301796	0.846622
DES1	49	CG	241804	320937	0.753431
DES1	50	CG	234479	282743	0.829301
DES1	51	CG	235047	271736	0.864983
DES1	52	CG	241767	272501	0.887215
DES1	53	CG	244571	275306	0.888361
DES1	54	CG	242451	273236	0.887332
DES1	55	CG	251864	281816	0.893718
DES1	56	CG	254857	285411	0.892947
DES1	57	CG	257457	287328	0.896039
DES1	58	CG	274884	306842	0.895849
DES1	59	CG	256894	289409	0.887650
