#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHG
sample	bin	methType	mCount	tCount	value
DES1	0	CHG	182267	247317	0.736977
DES1	1	CHG	180537	246980	0.730978
DES1	2	CHG	194878	260437	0.748273
DES1	3	CHG	188277	256190	0.734912
DES1	4	CHG	185052	249522	0.741626
DES1	5	CHG	185535	250578	0.740428
DES1	6	CHG	185305	255755	0.724541
DES1	7	CHG	182444	247487	0.737186
DES1	8	CHG	189392	263599	0.718485
DES1	9	CHG	167547	232637	0.720208
DES1	10	CHG	178068	243497	0.731294
DES1	11	CHG	168355	233694	0.720408
DES1	12	CHG	159218	224084	0.710528
DES1	13	CHG	164264	231127	0.710709
DES1	14	CHG	174678	244723	0.713778
DES1	15	CHG	144732	216816	0.667534
DES1	16	CHG	131472	211367	0.622008
DES1	17	CHG	130483	214008	0.609711
DES1	18	CHG	118401	211272	0.560420
DES1	19	CHG	120374	238212	0.505323
DES1	20	CHG	194718	460014	0.423287
DES1	21	CHG	163466	517188	0.316067
DES1	22	CHG	150379	524906	0.286487
DES1	23	CHG	172966	565278	0.305984
DES1	24	CHG	158279	582564	0.271694
DES1	25	CHG	143435	582499	0.246241
DES1	26	CHG	148579	594980	0.249721
DES1	27	CHG	142770	589413	0.242224
DES1	28	CHG	143043	585810	0.244180
DES1	29	CHG	148394	590153	0.251450
DES1	30	CHG	164696	604579	0.272414
DES1	31	CHG	153938	596794	0.257942
DES1	32	CHG	182084	628406	0.289755
DES1	33	CHG	182528	612943	0.297790
DES1	34	CHG	171306	585711	0.292475
DES1	35	CHG	171379	576094	0.297484
DES1	36	CHG	189862	604561	0.314049
DES1	37	CHG	196838	609683	0.322853
DES1	38	CHG	209089	584032	0.358009
DES1	39	CHG	232541	493835	0.470888
DES1	40	CHG	114858	212383	0.540806
DES1	41	CHG	117841	199193	0.591592
DES1	42	CHG	127701	201581	0.633497
DES1	43	CHG	127009	198355	0.640312
DES1	44	CHG	134714	208874	0.644953
DES1	45	CHG	147855	225693	0.655116
DES1	46	CHG	141426	211911	0.667384
DES1	47	CHG	143253	216163	0.662708
DES1	48	CHG	146642	219994	0.666573
DES1	49	CHG	152119	239980	0.633882
DES1	50	CHG	150098	218712	0.686282
DES1	51	CHG	155727	223099	0.698017
DES1	52	CHG	158962	228731	0.694974
DES1	53	CHG	152848	223084	0.685159
DES1	54	CHG	158295	229284	0.690388
DES1	55	CHG	148784	216052	0.688649
DES1	56	CHG	152453	221234	0.689103
DES1	57	CHG	157998	227534	0.694393
DES1	58	CHG	172345	244192	0.705777
DES1	59	CHG	163497	232006	0.704710
