#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHH
sample	bin	methType	mCount	tCount	value
DES1	0	CHH	242934	1412719	0.171962
DES1	1	CHH	247616	1411317	0.175450
DES1	2	CHH	250361	1413463	0.177126
DES1	3	CHH	239154	1375559	0.173860
DES1	4	CHH	251100	1403734	0.178880
DES1	5	CHH	252911	1384532	0.182669
DES1	6	CHH	255450	1390523	0.183708
DES1	7	CHH	265060	1417383	0.187007
DES1	8	CHH	262419	1385260	0.189437
DES1	9	CHH	264092	1356839	0.194638
DES1	10	CHH	278353	1334156	0.208636
DES1	11	CHH	277120	1319544	0.210012
DES1	12	CHH	274552	1302384	0.210807
DES1	13	CHH	268837	1277657	0.210414
DES1	14	CHH	248885	1226061	0.202996
DES1	15	CHH	234967	1189443	0.197544
DES1	16	CHH	200113	1153628	0.173464
DES1	17	CHH	154411	1125846	0.137151
DES1	18	CHH	108089	1103190	0.097979
DES1	19	CHH	81796	1181294	0.069243
DES1	20	CHH	96522	1797925	0.053685
DES1	21	CHH	84686	1865781	0.045389
DES1	22	CHH	79585	1922182	0.041403
DES1	23	CHH	83521	2097840	0.039813
DES1	24	CHH	77900	2223417	0.035036
DES1	25	CHH	78451	2288014	0.034288
DES1	26	CHH	79381	2386260	0.033266
DES1	27	CHH	74130	2378485	0.031167
DES1	28	CHH	77908	2378393	0.032757
DES1	29	CHH	80342	2422522	0.033165
DES1	30	CHH	79763	2384696	0.033448
DES1	31	CHH	79488	2377690	0.033431
DES1	32	CHH	95850	2462314	0.038927
DES1	33	CHH	88918	2399720	0.037053
DES1	34	CHH	92342	2336555	0.039521
DES1	35	CHH	90293	2300330	0.039252
DES1	36	CHH	96958	2330227	0.041609
DES1	37	CHH	105562	2357024	0.044786
DES1	38	CHH	117415	2348547	0.049995
DES1	39	CHH	115997	1976672	0.058683
DES1	40	CHH	101466	1273421	0.079680
DES1	41	CHH	117820	1224253	0.096238
DES1	42	CHH	134480	1232147	0.109143
DES1	43	CHH	150291	1192092	0.126073
DES1	44	CHH	159384	1201811	0.132620
DES1	45	CHH	173005	1245910	0.138858
DES1	46	CHH	186584	1275855	0.146242
DES1	47	CHH	197128	1306228	0.150914
DES1	48	CHH	200351	1336558	0.149901
DES1	49	CHH	204571	1346859	0.151887
DES1	50	CHH	195657	1330424	0.147064
DES1	51	CHH	198952	1307630	0.152147
DES1	52	CHH	199838	1295315	0.154278
DES1	53	CHH	197866	1282677	0.154260
DES1	54	CHH	200279	1293303	0.154859
DES1	55	CHH	192171	1298232	0.148025
DES1	56	CHH	193259	1330872	0.145212
DES1	57	CHH	188951	1344136	0.140574
DES1	58	CHH	191693	1347207	0.142289
DES1	59	CHH	192820	1337704	0.144143
