#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CG
sample	bin	methType	mCount	tCount	value
S2	0	CG	154223	190276	0.810523
S2	1	CG	156965	196922	0.797092
S2	2	CG	147008	182099	0.807297
S2	3	CG	149045	184003	0.810014
S2	4	CG	151757	189146	0.802327
S2	5	CG	146261	186268	0.785218
S2	6	CG	150184	187419	0.801328
S2	7	CG	146183	180381	0.810412
S2	8	CG	136388	170812	0.798468
S2	9	CG	143811	184186	0.780792
S2	10	CG	124485	158904	0.783398
S2	11	CG	118025	156105	0.756062
S2	12	CG	111824	149579	0.747592
S2	13	CG	104011	143933	0.722635
S2	14	CG	94927	138087	0.687443
S2	15	CG	85548	133150	0.642493
S2	16	CG	84557	141983	0.595543
S2	17	CG	84697	149237	0.567534
S2	18	CG	73147	149090	0.490623
S2	19	CG	72611	171419	0.423588
S2	20	CG	165964	461698	0.359464
S2	21	CG	189639	618213	0.306753
S2	22	CG	210134	613975	0.342252
S2	23	CG	233820	574370	0.407090
S2	24	CG	261471	569863	0.458831
S2	25	CG	295136	573341	0.514765
S2	26	CG	303936	557035	0.545632
S2	27	CG	317849	547605	0.580435
S2	28	CG	322374	528258	0.610259
S2	29	CG	340120	538947	0.631082
S2	30	CG	351818	536628	0.655609
S2	31	CG	351217	534604	0.656967
S2	32	CG	371019	540861	0.685978
S2	33	CG	357106	525374	0.679718
S2	34	CG	354674	526917	0.673112
S2	35	CG	345388	515124	0.670495
S2	36	CG	349583	538487	0.649195
S2	37	CG	357272	540480	0.661027
S2	38	CG	329688	504932	0.652935
S2	39	CG	235513	359410	0.655277
S2	40	CG	93075	162121	0.574108
S2	41	CG	85125	132895	0.640543
S2	42	CG	97594	137768	0.708394
S2	43	CG	112086	152983	0.732670
S2	44	CG	112227	148433	0.756079
S2	45	CG	108047	148447	0.727849
S2	46	CG	117170	153488	0.763382
S2	47	CG	126452	165662	0.763313
S2	48	CG	138823	183851	0.755084
S2	49	CG	135626	202851	0.668599
S2	50	CG	122544	168205	0.728540
S2	51	CG	134172	171131	0.784031
S2	52	CG	135745	165904	0.818214
S2	53	CG	142553	173442	0.821906
S2	54	CG	135977	167107	0.813712
S2	55	CG	148895	180740	0.823808
S2	56	CG	145447	178757	0.813658
S2	57	CG	139123	171322	0.812056
S2	58	CG	153320	186393	0.822563
S2	59	CG	149805	184398	0.812400
