#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHG
sample	bin	methType	mCount	tCount	value
S4	0	CHG	274287	406240	0.675185
S4	1	CHG	265115	399636	0.663391
S4	2	CHG	279115	407339	0.685216
S4	3	CHG	267695	399351	0.670325
S4	4	CHG	263163	389059	0.676409
S4	5	CHG	259221	384795	0.673660
S4	6	CHG	261764	397350	0.658774
S4	7	CHG	249122	376081	0.662416
S4	8	CHG	257162	402509	0.638898
S4	9	CHG	223084	348662	0.639829
S4	10	CHG	233045	357800	0.651328
S4	11	CHG	211237	331200	0.637793
S4	12	CHG	201460	324592	0.620656
S4	13	CHG	208208	338241	0.615561
S4	14	CHG	226623	364711	0.621377
S4	15	CHG	198962	342688	0.580592
S4	16	CHG	176144	334902	0.525957
S4	17	CHG	187913	360986	0.520555
S4	18	CHG	166649	356579	0.467355
S4	19	CHG	165097	412053	0.400669
S4	20	CHG	280566	874091	0.320980
S4	21	CHG	249249	1071721	0.232569
S4	22	CHG	238003	1150185	0.206926
S4	23	CHG	272499	1241550	0.219483
S4	24	CHG	265796	1303721	0.203875
S4	25	CHG	265489	1332336	0.199266
S4	26	CHG	269305	1329439	0.202570
S4	27	CHG	244205	1288232	0.189566
S4	28	CHG	246902	1263584	0.195398
S4	29	CHG	262380	1259893	0.208256
S4	30	CHG	284174	1255806	0.226288
S4	31	CHG	257987	1219464	0.211558
S4	32	CHG	291063	1234239	0.235824
S4	33	CHG	293239	1198796	0.244611
S4	34	CHG	278563	1154523	0.241280
S4	35	CHG	274414	1128845	0.243093
S4	36	CHG	291227	1155748	0.251981
S4	37	CHG	305282	1170598	0.260791
S4	38	CHG	319882	1102442	0.290158
S4	39	CHG	348242	899146	0.387303
S4	40	CHG	178404	381490	0.467651
S4	41	CHG	181951	358590	0.507407
S4	42	CHG	198135	365290	0.542405
S4	43	CHG	199217	353841	0.563013
S4	44	CHG	206259	360182	0.572652
S4	45	CHG	224698	381662	0.588736
S4	46	CHG	217052	365192	0.594350
S4	47	CHG	217472	366504	0.593369
S4	48	CHG	225816	375436	0.601477
S4	49	CHG	224442	389891	0.575653
S4	50	CHG	224656	367413	0.611454
S4	51	CHG	232570	374541	0.620947
S4	52	CHG	249713	396172	0.630315
S4	53	CHG	234013	377679	0.619608
S4	54	CHG	246096	391177	0.629117
S4	55	CHG	227581	367523	0.619229
S4	56	CHG	237074	383968	0.617432
S4	57	CHG	238390	383470	0.621665
S4	58	CHG	253988	399637	0.635547
S4	59	CHG	247205	388096	0.636969
