#from_script: gbm_metaplot_pe.py; numBins: 20; numBinsStream: 20; streamSize: 1000; methTypes: CHH
sample	bin	methType	mCount	tCount	value
S5	0	CHH	265529	1736613	0.152901
S5	1	CHH	262846	1706209	0.154053
S5	2	CHH	264494	1684553	0.157011
S5	3	CHH	251954	1623196	0.155221
S5	4	CHH	262763	1649055	0.159342
S5	5	CHH	258678	1628623	0.158832
S5	6	CHH	255197	1619636	0.157564
S5	7	CHH	257472	1631441	0.157819
S5	8	CHH	250563	1559379	0.160681
S5	9	CHH	248079	1531113	0.162025
S5	10	CHH	246804	1453162	0.169839
S5	11	CHH	239894	1424896	0.168359
S5	12	CHH	233662	1409465	0.165781
S5	13	CHH	228713	1411066	0.162085
S5	14	CHH	209727	1387465	0.151158
S5	15	CHH	199869	1389683	0.143823
S5	16	CHH	178140	1391518	0.128018
S5	17	CHH	143419	1407376	0.101905
S5	18	CHH	114695	1436603	0.079838
S5	19	CHH	94249	1566220	0.060176
S5	20	CHH	140152	2690220	0.052097
S5	21	CHH	122892	3063048	0.040121
S5	22	CHH	125664	3354004	0.037467
S5	23	CHH	130517	3661275	0.035648
S5	24	CHH	130355	3946091	0.033034
S5	25	CHH	134804	4082968	0.033016
S5	26	CHH	136182	4167700	0.032676
S5	27	CHH	128106	4097520	0.031264
S5	28	CHH	132417	3998907	0.033113
S5	29	CHH	137823	4034421	0.034162
S5	30	CHH	134853	3881311	0.034744
S5	31	CHH	133074	3760516	0.035387
S5	32	CHH	150792	3792886	0.039757
S5	33	CHH	146267	3688913	0.039650
S5	34	CHH	146371	3572258	0.040974
S5	35	CHH	145449	3480975	0.041784
S5	36	CHH	157347	3534799	0.044514
S5	37	CHH	165295	3525078	0.046891
S5	38	CHH	177644	3402686	0.052207
S5	39	CHH	168315	2829148	0.059493
S5	40	CHH	136756	1828374	0.074797
S5	41	CHH	147055	1734444	0.084785
S5	42	CHH	164499	1699506	0.096792
S5	43	CHH	170078	1622743	0.104809
S5	44	CHH	179687	1631544	0.110133
S5	45	CHH	186773	1657919	0.112655
S5	46	CHH	198517	1666275	0.119138
S5	47	CHH	204373	1688961	0.121005
S5	48	CHH	215577	1696479	0.127073
S5	49	CHH	211082	1686093	0.125190
S5	50	CHH	215711	1715330	0.125755
S5	51	CHH	217357	1688929	0.128695
S5	52	CHH	217375	1679638	0.129418
S5	53	CHH	223099	1665020	0.133992
S5	54	CHH	225545	1676410	0.134540
S5	55	CHH	223108	1691667	0.131886
S5	56	CHH	223372	1704725	0.131031
S5	57	CHH	218676	1727770	0.126565
S5	58	CHH	227218	1762961	0.128884
S5	59	CHH	230923	1779109	0.129797
